date,price
2008-05-21,2399
2008-05-22,2454
2008-05-23,2454
2008-05-24,2444
2008-05-25,2444
2008-05-26,2379
2008-05-27,2379
2008-05-28,2379
2008-05-29,2379
2008-05-30,2409
2008-05-31,2409
2008-06-01,2409
2008-06-02,2417
2008-06-03,2426
2008-06-04,2417
2008-06-05,2382
2008-06-06,2370
2008-06-07,2345
2008-06-08,2313
2008-06-09,2251
2008-06-10,2251
2008-06-11,2257
2008-06-12,2266
2008-06-13,2281
2008-06-14,2298
2008-06-15,2321
2008-06-16,2321
2008-06-17,2327
2008-06-18,2330
2008-06-19,2339
2008-06-20,2344
2008-06-21,2344
2008-06-22,2352
2008-06-23,2361
2008-06-24,2361
2008-06-25,2327
2008-06-26,2284
2008-06-27,2273
2008-06-28,2280
2008-06-29,2295
2008-06-30,2303
2008-07-01,2327
2008-07-02,2333
2008-07-03,2333
2008-07-04,2314
2008-07-05,2298
2008-07-06,2280
2008-07-07,2284
2008-07-08,2285
2008-07-09,2297
2008-07-10,2297
2008-07-11,2293
2008-07-12,2291
2008-07-13,2289
2008-07-14,2285
2008-07-15,2285
2008-07-16,2277
2008-07-17,2272
2008-07-18,2275
2008-07-19,2276
2008-07-20,2258
2008-07-21,2257
2008-07-22,2244
2008-07-23,2232
2008-07-24,2225
2008-07-25,2235
2008-07-26,2235
2008-07-27,2246
2008-07-28,2257
2008-07-29,2268
2008-07-30,2266
2008-07-31,2245
2008-08-01,2245
2008-08-02,2238
2008-08-03,2235
2008-08-04,2225
2008-08-05,2226
2008-08-06,2226
2008-08-07,2231
2008-08-08,2230
2008-08-09,2226
2008-08-10,2228
2008-08-11,2232
2008-08-12,2233
2008-08-13,2238
2008-08-14,2238
2008-08-15,2243
2008-08-16,2245
2008-08-17,2242
2008-08-18,2253
2008-08-19,2266
2008-08-20,2277
2008-08-21,2277
2008-08-22,2283
2008-08-23,2258
2008-08-24,2258
2008-08-25,2255
2008-08-26,2239
2008-08-27,2237
2008-08-28,2238
2008-08-29,2253
2008-08-30,2258
2008-08-31,2258
2008-09-01,2258
2008-09-02,2252
2008-09-03,2252
2008-09-04,2254
2008-09-05,2266
2008-09-06,2266
2008-09-07,2272
2008-09-08,2276
2008-09-09,2276
2008-09-10,2284
2008-09-11,2287
2008-09-12,2294
2008-09-13,2301
2008-09-14,2291
2008-09-15,2281
2008-09-16,2281
2008-09-17,2287
2008-09-18,2312
2008-09-19,2316
2008-09-20,2314
2008-09-21,2314
2008-09-22,2301
2008-09-23,2290
2008-09-24,2287
2008-09-25,2300
2008-09-26,2317
2008-09-27,2279
2008-09-28,2279
2008-09-29,2266
2008-09-30,2270
2008-10-01,2281
2008-10-02,2300
2008-10-03,2317
2008-10-04,2286
2008-10-05,2286
2008-10-06,2285
2008-10-07,2287
2008-10-08,2283
2008-10-09,2283
2008-10-10,2279
2008-10-11,2278
2008-10-12,2279
2008-10-13,2277
2008-10-14,2277
2008-10-15,2274
2008-10-16,2276
2008-10-17,2294
2008-10-18,2332
2008-10-19,2344
2008-10-20,2344
2008-10-21,2362
2008-10-22,2379
2008-10-23,2363
2008-10-24,2363
2008-10-25,2324
2008-10-26,2324
2008-10-27,2305
2008-10-28,2301
2008-10-29,2304
2008-10-30,2299
2008-10-31,2293
2008-11-01,2284
2008-11-02,2273
2008-11-03,2280
2008-11-04,2282
2008-11-05,2282
2008-11-06,2296
2008-11-07,2304
2008-11-08,2306
2008-11-09,2295
2008-11-10,2286
2008-11-11,2282
2008-11-12,2307
2008-11-13,2341
2008-11-14,2372
2008-11-15,2381
2008-11-16,2304
2008-11-17,2305
2008-11-18,2298
2008-11-19,2298
2008-11-20,2311
2008-11-21,2303
2008-11-22,2303
2008-11-23,2291
2008-11-24,2286
2008-11-25,2292
2008-11-26,2292
2008-11-27,2300
2008-11-28,2306
2008-11-29,2306
2008-11-30,2305
2008-12-01,2300
2008-12-02,2299
2008-12-03,2298
2008-12-04,2308
2008-12-05,2317
2008-12-06,2335
2008-12-07,2334
2008-12-08,2317
2008-12-09,2317
2008-12-10,2310
2008-12-11,2312
2008-12-12,2312
2008-12-13,2307
2008-12-14,2302
2008-12-15,2305
2008-12-16,2315
2008-12-17,2399
2008-12-18,2426
2008-12-19,2370
2008-12-20,2370
2008-12-21,2324
2008-12-22,2273
2008-12-23,2271
2008-12-24,2278
2008-12-25,2278
2008-12-26,2293
2008-12-27,2293
2008-12-28,2296
2008-12-29,2299
2008-12-30,2298
2008-12-31,2292
2009-01-01,2292
2009-01-02,2273
2009-01-03,2257
2009-01-04,2249
2009-01-05,2257
2009-01-06,2274
2009-01-07,2285
2009-01-08,2298
2009-01-09,2308
2009-01-10,2293
2009-01-11,2293
2009-01-12,2286
2009-01-13,2291
2009-01-14,2291
2009-01-15,2294
2009-01-16,2282
2009-01-17,2271
2009-01-18,2272
2009-01-19,2272
2009-01-20,2277
2009-01-21,2276
2009-01-22,2276
2009-01-23,2283
2009-01-24,2283
2009-01-25,2284
2009-01-26,2284
2009-01-27,2289
2009-01-28,2304
2009-01-29,2304
2009-01-30,2319
2009-01-31,2315
2009-02-01,2306
2009-02-02,2306
2009-02-03,2307
2009-02-04,2322
2009-02-05,2342
2009-02-06,2345
2009-02-07,2340
2009-02-08,2340
2009-02-09,2330
2009-02-10,2331
2009-02-11,2331
2009-02-12,2334
2009-02-13,2343
2009-02-14,2351
2009-02-15,2344
2009-02-16,2326
2009-02-17,2291
2009-02-18,2291
2009-02-19,2282
2009-02-20,2282
2009-02-21,2294
2009-02-22,2294
2009-02-23,2295
2009-02-24,2299
2009-02-25,2306
2009-02-26,2319
2009-02-27,2326
2009-02-28,2327
2009-03-01,2312
2009-03-02,2307
2009-03-03,2309
2009-03-04,2316
2009-03-05,2316
2009-03-06,2323
2009-03-07,2325
2009-03-08,2324
2009-03-09,2329
2009-03-10,2339
2009-03-11,2339
2009-03-12,2347
2009-03-13,2363
2009-03-14,2363
2009-03-15,2356
2009-03-16,2347
2009-03-17,2342
