date,price
2008-05-21,1015
2008-05-22,1020
2008-05-23,1020
2008-05-24,1038
2008-05-25,1038
2008-05-26,1065
2008-05-27,1065
2008-05-28,1077
2008-05-29,1077
2008-05-30,1074
2008-05-31,1074
2008-06-01,1060
2008-06-02,1051
2008-06-03,1048
2008-06-04,1046
2008-06-05,1041
2008-06-06,1042
2008-06-07,1030
2008-06-08,1017
2008-06-09,1000
2008-06-10,1000
2008-06-11,992
2008-06-12,992
2008-06-13,992
2008-06-14,998
2008-06-15,1004
2008-06-16,1004
2008-06-17,1002
2008-06-18,974
2008-06-19,970
2008-06-20,975
2008-06-21,975
2008-06-22,977
2008-06-23,978
2008-06-24,978
2008-06-25,960
2008-06-26,958
2008-06-27,948
2008-06-28,937
2008-06-29,932
2008-06-30,929
2008-07-01,929
2008-07-02,921
2008-07-03,921
2008-07-04,928
2008-07-05,923
2008-07-06,926
2008-07-07,927
2008-07-08,924
2008-07-09,908
2008-07-10,908
2008-07-11,891
2008-07-12,884
2008-07-13,873
2008-07-14,869
2008-07-15,869
2008-07-16,871
2008-07-17,874
2008-07-18,880
2008-07-19,886
2008-07-20,891
2008-07-21,895
2008-07-22,897
2008-07-23,895
2008-07-24,896
2008-07-25,890
2008-07-26,890
2008-07-27,894
2008-07-28,900
2008-07-29,906
2008-07-30,906
2008-07-31,906
2008-08-01,906
2008-08-02,904
2008-08-03,898
2008-08-04,899
2008-08-05,897
2008-08-06,897
2008-08-07,897
2008-08-08,900
2008-08-09,911
2008-08-10,923
2008-08-11,928
2008-08-12,933
2008-08-13,934
2008-08-14,935
2008-08-15,932
2008-08-16,927
2008-08-17,922
2008-08-18,921
2008-08-19,929
2008-08-20,933
2008-08-21,933
2008-08-22,942
2008-08-23,955
2008-08-24,955
2008-08-25,958
2008-08-26,958
2008-08-27,963
2008-08-28,967
2008-08-29,975
2008-08-30,976
2008-08-31,966
2008-09-01,966
2008-09-02,970
2008-09-03,981
2008-09-04,998
2008-09-05,1008
2008-09-06,1008
2008-09-07,1048
2008-09-08,1080
2008-09-09,1080
2008-09-10,1097
2008-09-11,1090
2008-09-12,1076
2008-09-13,1054
2008-09-14,1011
2008-09-15,1006
2008-09-16,1006
2008-09-17,1011
2008-09-18,1046
2008-09-19,1058
2008-09-20,1061
2008-09-21,1061
2008-09-22,1066
2008-09-23,1071
2008-09-24,1058
2008-09-25,1045
2008-09-26,1030
2008-09-27,1030
2008-09-28,1030
2008-09-29,1032
2008-09-30,1024
2008-10-01,1031
2008-10-02,1029
2008-10-03,1047
2008-10-04,1048
2008-10-05,1048
2008-10-06,1033
2008-10-07,1036
2008-10-08,1033
2008-10-09,1033
2008-10-10,1025
2008-10-11,1037
2008-10-12,1043
2008-10-13,1033
2008-10-14,1033
2008-10-15,1034
2008-10-16,1045
2008-10-17,1041
2008-10-18,1086
2008-10-19,1121
2008-10-20,1121
2008-10-21,1141
2008-10-22,1178
2008-10-23,1192
2008-10-24,1192
2008-10-25,1149
2008-10-26,1149
2008-10-27,1131
2008-10-28,1104
2008-10-29,1091
2008-10-30,1091
2008-10-31,1106
2008-11-01,1115
2008-11-02,1111
2008-11-03,1099
2008-11-04,1095
2008-11-05,1095
2008-11-06,1091
2008-11-07,1087
2008-11-08,1078
2008-11-09,1074
2008-11-10,1070
2008-11-11,1076
2008-11-12,1091
2008-11-13,1107
2008-11-14,1135
2008-11-15,1156
2008-11-16,1137
2008-11-17,1116
2008-11-18,1099
2008-11-19,1099
2008-11-20,1101
2008-11-21,1105
2008-11-22,1105
2008-11-23,1099
2008-11-24,1097
2008-11-25,1104
2008-11-26,1104
2008-11-27,1108
