date,price
2019-01-07,11126
2019-01-08,11560
2019-01-09,11275
2019-01-10,10711
2019-01-11,10175
2019-01-12,9666
2019-01-13,9182
2019-01-14,8722
2019-01-15,8285
2019-01-16,7870
2019-01-17,7476
2019-01-18,7102
2019-01-19,6746
2019-01-20,6408
2019-01-21,6087
2019-01-22,5782
2019-01-23,5492
2019-01-24,5217
2019-01-25,4956
2019-01-26,4708
2019-01-27,4472
2019-01-28,4248
2019-01-29,4035
2019-01-30,3833
2019-01-31,3641
2019-02-01,3458
2019-02-02,3285
2019-02-03,3120
2019-02-04,2983
2019-02-05,2866
2019-02-06,2786
2019-02-07,2841
2019-02-08,2902
2019-02-09,3016
2019-02-10,3128
2019-02-11,3235
2019-02-12,3353
2019-02-13,3259
2019-02-14,3108
2019-02-15,3108
2019-02-16,2958
2019-02-17,2883
2019-02-18,2872
2019-02-19,2877
2019-02-20,2860
2019-02-21,2842
2019-02-22,2860
2019-02-23,2908
2019-02-24,2823
2019-02-25,2683
2019-02-26,2584
2019-02-27,2521
2019-02-28,2520
2019-03-01,2520
2019-03-02,2422
2019-03-03,2396
2019-03-04,2329
2019-03-05,2361
2019-03-06,2398
2019-03-07,2466
2019-03-08,2485
2019-03-09,2485
2019-03-10,2534
2019-03-11,2595
2019-03-12,2635
2019-03-13,2728
2019-03-14,2691
2019-03-15,2643
2019-03-16,2612
2019-03-17,2659
2019-03-18,2721
2019-03-19,2756
2019-03-20,2756
2019-03-21,2719
2019-03-22,2719
2019-03-23,2651
2019-03-24,2539
2019-03-25,2506
2019-03-26,2547
2019-03-27,2501
2019-03-28,2481
2019-03-29,2481
2019-03-30,2451
2019-03-31,2396
2019-04-01,2396
2019-04-02,2435
2019-04-03,2496
2019-04-04,2496
2019-04-05,2465
2019-04-06,2465
2019-04-07,2401
2019-04-08,2485
2019-04-09,2517
2019-04-10,2517
2019-04-11,2442
2019-04-12,2413
2019-04-13,2413
2019-04-14,2368
2019-04-15,2306
2019-04-16,2306
2019-04-17,2316
2019-04-18,2427
2019-04-19,2427
2019-04-20,2457
2019-04-21,2457
2019-04-22,2395
2019-04-23,2478
2019-04-24,2516
2019-04-25,2516
2019-04-26,2518
2019-04-27,2628
2019-04-28,2628
2019-04-29,2701
2019-04-30,2665
2019-05-01,2665
2019-05-02,2668
2019-05-03,2720
2019-05-04,2720
2019-05-05,2724
2019-05-06,2708
2019-05-07,2708
2019-05-08,2676
2019-05-09,2621
2019-05-10,2571
2019-05-11,2519
2019-05-12,2504
2019-05-13,2487
2019-05-14,2499
2019-05-15,2526
2019-05-16,2647
2019-05-17,2662
2019-05-18,2588
2019-05-19,2601
2019-05-20,2669
2019-05-21,2630
2019-05-22,2553
2019-05-23,2547
2019-05-24,2623
2019-05-25,2676
2019-05-26,2741
2019-05-27,2755
2019-05-28,2820
2019-05-29,2845
2019-05-30,2945
2019-05-31,3058
2019-06-01,3052
2019-06-02,3092
2019-06-03,3161
2019-06-04,3187
2019-06-05,3162
2019-06-06,3068
2019-06-07,3005
2019-06-08,2902
2019-06-09,2950
2019-06-10,3063
2019-06-11,3146
2019-06-12,3287
2019-06-13,3433
2019-06-14,3485
2019-06-15,3470
