date,price
2008-05-21,67
2008-05-22,67
2008-05-23,67
2008-05-24,66
2008-05-25,66
2008-05-26,68
2008-05-27,68
2008-05-28,69
2008-05-29,69
2008-05-30,71
2008-05-31,71
2008-06-01,73
2008-06-02,74
2008-06-03,75
2008-06-04,75
2008-06-05,74
2008-06-06,73
2008-06-07,73
2008-06-08,71
2008-06-09,72
2008-06-10,72
2008-06-11,72
2008-06-12,73
2008-06-13,74
2008-06-14,75
2008-06-15,75
2008-06-16,75
2008-06-17,76
2008-06-18,76
2008-06-19,78
2008-06-20,78
2008-06-21,78
2008-06-22,77
2008-06-23,75
2008-06-24,75
2008-06-25,75
2008-06-26,77
2008-06-27,77
2008-06-28,77
2008-06-29,77
2008-06-30,76
2008-07-01,74
2008-07-02,75
2008-07-03,75
2008-07-04,76
2008-07-05,78
2008-07-06,78
2008-07-07,77
2008-07-08,77
2008-07-09,76
2008-07-10,76
2008-07-11,76
2008-07-12,74
2008-07-13,74
2008-07-14,74
2008-07-15,74
2008-07-16,75
2008-07-17,76
2008-07-18,76
2008-07-19,76
2008-07-20,75
2008-07-21,76
2008-07-22,77
2008-07-23,77
2008-07-24,75
2008-07-25,75
2008-07-26,75
2008-07-27,75
2008-07-28,76
2008-07-29,76
2008-07-30,78
2008-07-31,81
2008-08-01,81
2008-08-02,81
2008-08-03,81
2008-08-04,82
2008-08-05,81
2008-08-06,81
2008-08-07,81
2008-08-08,80
2008-08-09,80
2008-08-10,80
2008-08-11,81
2008-08-12,82
2008-08-13,81
2008-08-14,80
2008-08-15,80
2008-08-16,80
2008-08-17,80
2008-08-18,80
2008-08-19,79
2008-08-20,80
2008-08-21,80
2008-08-22,81
2008-08-23,79
2008-08-24,79
2008-08-25,79
2008-08-26,81
2008-08-27,83
2008-08-28,83
2008-08-29,83
2008-08-30,82
2008-08-31,80
2008-09-01,80
2008-09-02,79
2008-09-03,78
2008-09-04,76
2008-09-05,75
2008-09-06,75
2008-09-07,73
2008-09-08,72
2008-09-09,72
2008-09-10,72
2008-09-11,73
2008-09-12,74
2008-09-13,74
2008-09-14,74
2008-09-15,74
2008-09-16,74
2008-09-17,75
2008-09-18,78
2008-09-19,79
2008-09-20,79
2008-09-21,80
2008-09-22,80
2008-09-23,80
2008-09-24,81
2008-09-25,82
2008-09-26,84
2008-09-27,84
2008-09-28,84
2008-09-29,84
2008-09-30,82
2008-10-01,80
2008-10-02,79
2008-10-03,77
2008-10-04,77
2008-10-05,77
2008-10-06,78
2008-10-07,77
2008-10-08,77
2008-10-09,77
2008-10-10,76
2008-10-11,75
2008-10-12,75
2008-10-13,75
2008-10-14,75
2008-10-15,76
2008-10-16,74
2008-10-17,74
2008-10-18,73
2008-10-19,73
2008-10-20,73
2008-10-21,73
2008-10-22,73
2008-10-23,73
2008-10-24,73
2008-10-25,74
2008-10-26,74
2008-10-27,73
2008-10-28,73
2008-10-29,72
2008-10-30,72
2008-10-31,72
2008-11-01,71
2008-11-02,70
2008-11-03,71
2008-11-04,71
2008-11-05,71
2008-11-06,70
2008-11-07,69
2008-11-08,69
2008-11-09,70
2008-11-10,70
2008-11-11,70
2008-11-12,69
2008-11-13,70
2008-11-14,70
2008-11-15,70
2008-11-16,68
2008-11-17,68
2008-11-18,68
2008-11-19,68
2008-11-20,68
2008-11-21,68
2008-11-22,68
2008-11-23,68
2008-11-24,67
2008-11-25,67
2008-11-26,67
2008-11-27,67
2008-11-28,66
2008-11-29,66
2008-11-30,66
2008-12-01,66
2008-12-02,66
2008-12-03,66
2008-12-04,66
2008-12-05,66
2008-12-06,66
2008-12-07,66
2008-12-08,67
2008-12-09,67
2008-12-10,67
2008-12-11,67
2008-12-12,67
2008-12-13,67
2008-12-14,68
2008-12-15,68
2008-12-16,68
2008-12-17,68
2008-12-18,69
2008-12-19,69
2008-12-20,69
2008-12-21,69
2008-12-22,69
2008-12-23,69
2008-12-24,69
2008-12-25,69
2008-12-26,69
2008-12-27,69
2008-12-28,71
2008-12-29,71
2008-12-30,71
2008-12-31,70
2009-01-01,70
2009-01-02,71
2009-01-03,71
2009-01-04,70
2009-01-05,70
2009-01-06,70
2009-01-07,67
2009-01-08,67
2009-01-09,68
2009-01-10,70
2009-01-11,70
2009-01-12,71
2009-01-13,75
2009-01-14,75
2009-01-15,76
2009-01-16,76
2009-01-17,77
2009-01-18,77
2009-01-19,77
2009-01-20,75
2009-01-21,75
2009-01-22,75
2009-01-23,73
2009-01-24,73
2009-01-25,74
2009-01-26,74
2009-01-27,74
2009-01-28,73
2009-01-29,73
2009-01-30,72
2009-01-31,72
2009-02-01,71
2009-02-02,71
2009-02-03,70
2009-02-04,70
2009-02-05,69
2009-02-06,69
2009-02-07,68
2009-02-08,68
2009-02-09,68
2009-02-10,68
2009-02-11,68
2009-02-12,68
2009-02-13,69
2009-02-14,70
2009-02-15,71
2009-02-16,71
2009-02-17,71
2009-02-18,71
2009-02-19,71
2009-02-20,71
2009-02-21,71
2009-02-22,71
2009-02-23,70
2009-02-24,70
2009-02-25,71
2009-02-26,70
2009-02-27,70
2009-02-28,70
2009-03-01,69
2009-03-02,70
2009-03-03,70
2009-03-04,70
2009-03-05,70
2009-03-06,70
2009-03-07,70
2009-03-08,70
2009-03-09,72
2009-03-10,74
2009-03-11,74
2009-03-12,75
2009-03-13,78
2009-03-14,78
2009-03-15,80
2009-03-16,81
2009-03-17,80
2009-03-18,80
2009-03-19,80
2009-03-20,78
2009-03-21,77
2009-03-22,76
2009-03-23,75
2009-03-24,74
2009-03-25,74
2009-03-26,73
2009-03-27,73
2009-03-28,73
2009-03-29,74
2009-03-30,73
2009-03-31,72
2009-04-01,72
2009-04-02,74
2009-04-03,74
2009-04-04,75
