date,price
2018-07-13,4170
2018-07-14,4170
2018-07-15,4170
2018-07-16,4170
2018-07-17,4170
2018-07-18,4170
2018-07-19,4170
2018-07-20,4170
2018-07-21,4170
2018-07-22,4170
2018-07-23,4170
2018-07-24,4170
2018-07-25,4170
2018-07-26,4170
2018-07-27,4170
2018-07-28,4170
2018-07-29,4170
2018-07-30,4170
2018-07-31,4170
2018-08-01,4170
2018-08-02,4170
2018-08-03,4170
2018-08-04,4170
2018-08-05,4170
2018-08-06,4170
2018-08-07,4170
2018-08-08,4170
2018-08-09,4170
2018-08-10,4170
2018-08-11,4170
2018-08-12,4170
2018-08-13,4170
2018-08-14,4170
2018-08-15,4170
2018-08-16,4170
2018-08-17,4170
2018-08-18,4170
2018-08-19,4170
2018-08-20,4170
2018-08-21,4170
2018-08-22,4170
2018-08-23,4170
2018-08-24,4170
2018-08-25,4170
2018-08-26,4170
2018-08-27,4170
2018-08-28,4170
2018-08-29,4170
2018-08-30,4170
2018-08-31,4170
2018-09-01,4170
2018-09-02,4170
2018-09-03,4170
2018-09-04,4170
2018-09-05,4170
2018-09-06,4170
2018-09-07,4170
2018-09-08,4170
2018-09-09,4170
2018-09-10,4170
2018-09-11,4170
2018-09-12,4170
2018-09-13,4170
2018-09-14,4170
2018-09-15,4170
2018-09-16,4170
2018-09-17,4170
2018-09-18,4170
2018-09-19,4170
2018-09-20,4170
2018-09-21,4170
2018-09-22,4170
2018-09-23,4170
2018-09-24,4170
2018-09-25,4170
2018-09-26,4170
2018-09-27,4170
2018-09-28,4170
2018-09-29,4170
2018-09-30,4170
2018-10-01,4170
2018-10-02,4170
2018-10-03,4170
2018-10-04,4170
2018-10-05,4170
2018-10-06,4170
2018-10-07,4170
2018-10-08,4170
2018-10-09,4170
2018-10-10,4170
2018-10-11,4170
2018-10-12,4170
2018-10-13,4170
2018-10-14,4170
2018-10-15,4170
2018-10-16,4170
2018-10-17,4170
2018-10-18,4170
2018-10-19,4170
2018-10-20,4170
2018-10-21,4170
2018-10-22,4170
2018-10-23,4170
2018-10-24,4170
2018-10-25,4170
2018-10-26,4170
2018-10-27,4170
2018-10-28,4170
2018-10-29,4170
2018-10-30,4170
2018-10-31,4170
2018-11-01,4170
2018-11-02,4170
2018-11-03,4170
2018-11-04,4170
2018-11-05,4170
2018-11-06,4170
2018-11-07,4170
2018-11-08,4170
2018-11-09,4170
2018-11-10,4170
2018-11-11,4170
2018-11-12,4170
2018-11-13,4170
2018-11-14,4170
2018-11-15,4170
2018-11-16,4170
2018-11-17,4170
2018-11-18,4170
2018-11-19,4170
2018-11-20,4170
2018-11-21,4170
2018-11-22,4170
2018-11-23,4170
2018-11-24,4170
2018-11-25,4170
2018-11-26,4170
2018-11-27,4170
2018-11-28,4170
2018-11-29,4170
2018-11-30,4170
2018-12-01,4170
2018-12-02,4170
2018-12-03,4170
2018-12-04,4170
2018-12-05,4170
2018-12-06,4170
2018-12-07,4170
2018-12-08,4170
2018-12-09,4170
2018-12-10,4170
2018-12-11,4170
2018-12-12,4170
2018-12-13,4170
2018-12-14,4170
2018-12-15,4170
2018-12-16,4170
2018-12-17,4170
2018-12-18,4170
2018-12-19,4170
2018-12-20,4170
2018-12-21,4170
2018-12-22,4170
2018-12-23,4170
2018-12-24,4170
2018-12-25,4170
2018-12-26,4170
2018-12-27,4170
2018-12-28,4170
2018-12-29,4170
2018-12-30,4170
2018-12-31,4170
2019-01-01,4170
2019-01-02,4170
2019-01-03,4170
2019-01-04,4170
2019-01-05,4170
2019-01-06,4170
2019-01-07,4377
2019-01-08,4595
2019-01-09,4768
2019-01-10,4975
2019-01-11,4808
2019-01-12,4604
2019-01-13,4380
2019-01-14,4193
2019-01-15,4072
2019-01-16,3958
2019-01-17,3760
2019-01-18,3572
2019-01-19,3393
2019-01-20,3228
2019-01-21,3067
2019-01-22,3010
2019-01-23,2910
2019-01-24,2776
2019-01-25,2648
2019-01-26,2586
2019-01-27,2532
2019-01-28,2419
2019-01-29,2347
2019-01-30,2248
2019-01-31,2135
2019-02-01,2039
2019-02-02,1959
2019-02-03,1916
2019-02-04,1853
2019-02-05,1853
2019-02-06,1881
2019-02-07,1881
2019-02-08,1871
2019-02-09,1871
2019-02-10,1871
2019-02-11,1871
2019-02-12,1924
2019-02-13,1924
2019-02-14,1974
2019-02-15,1974
2019-02-16,1943
2019-02-17,1943
2019-02-18,1914
2019-02-19,1914
2019-02-20,1859
2019-02-21,1928
2019-02-22,1955
2019-02-23,1955
2019-02-24,1960
2019-02-25,1967
2019-02-26,1967
2019-02-27,2015
