date,price
2018-07-13,4170
2018-07-14,4170
2018-07-15,4170
2018-07-16,4170
2018-07-17,4170
2018-07-18,4170
2018-07-19,4170
2018-07-20,4170
2018-07-21,4170
2018-07-22,4170
2018-07-23,4170
2018-07-24,4170
2018-07-25,4170
2018-07-26,4170
2018-07-27,4170
2018-07-28,4170
2018-07-29,4170
2018-07-30,4170
2018-07-31,4170
2018-08-01,4170
2018-08-02,4170
2018-08-03,4170
2018-08-04,4170
2018-08-05,4170
2018-08-06,4170
2018-08-07,4170
2018-08-08,4170
2018-08-09,4170
2018-08-10,4170
2018-08-11,4170
2018-08-12,4170
2018-08-13,4170
2018-08-14,4170
2018-08-15,4170
2018-08-16,4170
2018-08-17,4170
2018-08-18,4170
2018-08-19,4170
2018-08-20,4170
2018-08-21,4170
2018-08-22,4170
2018-08-23,4170
2018-08-24,4170
2018-08-25,4170
2018-08-26,4170
2018-08-27,4170
2018-08-28,4170
2018-08-29,4170
2018-08-30,4170
2018-08-31,4170
2018-09-01,4170
2018-09-02,4170
2018-09-03,4170
2018-09-04,4170
2018-09-05,4170
2018-09-06,4170
2018-09-07,4170
2018-09-08,4170
2018-09-09,4170
2018-09-10,4170
2018-09-11,4170
2018-09-12,4170
2018-09-13,4170
2018-09-14,4170
2018-09-15,4170
2018-09-16,4170
2018-09-17,4170
2018-09-18,4170
2018-09-19,4170
2018-09-20,4170
2018-09-21,4170
2018-09-22,4170
2018-09-23,4170
2018-09-24,4170
2018-09-25,4170
2018-09-26,4170
2018-09-27,4170
2018-09-28,4170
2018-09-29,4170
2018-09-30,4170
2018-10-01,4170
2018-10-02,4170
2018-10-03,4170
2018-10-04,4170
2018-10-05,4170
2018-10-06,4170
2018-10-07,4170
2018-10-08,4170
2018-10-09,4170
2018-10-10,4170
2018-10-11,4170
2018-10-12,4170
2018-10-13,4170
2018-10-14,4170
2018-10-15,4170
2018-10-16,4170
2018-10-17,4170
2018-10-18,4170
2018-10-19,4170
2018-10-20,4170
2018-10-21,4170
2018-10-22,4170
2018-10-23,4170
2018-10-24,4170
2018-10-25,4170
2018-10-26,4170
2018-10-27,4170
2018-10-28,4170
2018-10-29,4170
2018-10-30,4170
2018-10-31,4170
2018-11-01,4170
2018-11-02,4170
2018-11-03,4170
2018-11-04,4170
2018-11-05,4170
2018-11-06,4170
2018-11-07,4170
2018-11-08,4170
2018-11-09,4170
2018-11-10,4170
2018-11-11,4170
2018-11-12,4170
2018-11-13,4170
2018-11-14,4170
2018-11-15,4170
2018-11-16,4170
2018-11-17,4170
2018-11-18,4170
2018-11-19,4170
2018-11-20,4170
2018-11-21,4170
2018-11-22,4170
2018-11-23,4170
2018-11-24,4170
2018-11-25,4170
2018-11-26,4170
2018-11-27,4170
2018-11-28,4170
2018-11-29,4170
2018-11-30,4170
2018-12-01,4170
2018-12-02,4170
2018-12-03,4170
2018-12-04,4170
2018-12-05,4170
2018-12-06,4170
2018-12-07,4170
2018-12-08,4170
2018-12-09,4170
2018-12-10,4170
2018-12-11,4170
2018-12-12,4170
2018-12-13,4170
2018-12-14,4170
2018-12-15,4170
2018-12-16,4170
2018-12-17,4170
2018-12-18,4170
2018-12-19,4170
2018-12-20,4170
2018-12-21,4170
2018-12-22,4170
2018-12-23,4170
2018-12-24,4170
2018-12-25,4170
2018-12-26,4170
2018-12-27,4170
2018-12-28,4170
2018-12-29,4170
2018-12-30,4170
2018-12-31,4170
2019-01-01,4170
2019-01-02,4170
2019-01-03,4170
2019-01-04,4170
2019-01-05,4170
2019-01-06,4170
2019-01-07,4170
2019-01-08,3986
2019-01-09,3885
2019-01-10,3831
2019-01-11,3831
2019-01-12,3756
2019-01-13,3756
2019-01-14,3669
2019-01-15,3669
2019-01-16,3639
2019-01-17,3639
2019-01-18,3639
2019-01-19,3551
2019-01-20,3551
2019-01-21,3551
2019-01-22,3483
2019-01-23,3483
2019-01-24,3483
2019-01-25,3483
2019-01-26,3382
2019-01-27,3382
2019-01-28,3382
2019-01-29,3231
2019-01-30,3231
2019-01-31,3069
2019-02-01,3069
2019-02-02,3069
2019-02-03,2916
2019-02-04,2916
2019-02-05,2784
2019-02-06,2784
2019-02-07,2654
2019-02-08,2654
2019-02-09,2551
2019-02-10,2551
2019-02-11,2446
2019-02-12,2446
2019-02-13,2446
2019-02-14,2323
2019-02-15,2323
2019-02-16,2323
2019-02-17,2211
2019-02-18,2211
2019-02-19,2106
2019-02-20,2106
2019-02-21,2006
2019-02-22,2006
2019-02-23,2006
2019-02-24,1911
2019-02-25,1911
2019-02-26,1824
2019-02-27,1824
