date,price
2018-07-13,83340
2018-07-14,83340
2018-07-15,83340
2018-07-16,83340
2018-07-17,83340
2018-07-18,83340
2018-07-19,83340
2018-07-20,83340
2018-07-21,83340
2018-07-22,83340
2018-07-23,83340
2018-07-24,83340
2018-07-25,83340
2018-07-26,83340
2018-07-27,83340
2018-07-28,83340
2018-07-29,83340
2018-07-30,83340
2018-07-31,83340
2018-08-01,83340
2018-08-02,83340
2018-08-03,83340
2018-08-04,83340
2018-08-05,83340
2018-08-06,83340
2018-08-07,83340
2018-08-08,83340
2018-08-09,83340
2018-08-10,83340
2018-08-11,83340
2018-08-12,83340
2018-08-13,83340
2018-08-14,83340
2018-08-15,83340
2018-08-16,83340
2018-08-17,83340
2018-08-18,83340
2018-08-19,83340
2018-08-20,83340
2018-08-21,83340
2018-08-22,83340
2018-08-23,83340
2018-08-24,83340
2018-08-25,83340
2018-08-26,83340
2018-08-27,83340
2018-08-28,83340
2018-08-29,83340
2018-08-30,83340
2018-08-31,83340
2018-09-01,83340
2018-09-02,83340
2018-09-03,83340
2018-09-04,83340
2018-09-05,83340
2018-09-06,83340
2018-09-07,83340
2018-09-08,83340
2018-09-09,83340
2018-09-10,83340
2018-09-11,83340
2018-09-12,83340
2018-09-13,83340
2018-09-14,83340
2018-09-15,83340
2018-09-16,83340
2018-09-17,83340
2018-09-18,83340
2018-09-19,83340
2018-09-20,83340
2018-09-21,83340
2018-09-22,83340
2018-09-23,83340
2018-09-24,83340
2018-09-25,83340
2018-09-26,83340
2018-09-27,83340
2018-09-28,83340
2018-09-29,83340
2018-09-30,83340
2018-10-01,83340
2018-10-02,83340
2018-10-03,83340
2018-10-04,83340
2018-10-05,83340
2018-10-06,83340
2018-10-07,83340
2018-10-08,83340
2018-10-09,83340
2018-10-10,83340
2018-10-11,83340
2018-10-12,83340
2018-10-13,83340
2018-10-14,83340
2018-10-15,83340
2018-10-16,83340
2018-10-17,83340
2018-10-18,83340
2018-10-19,83340
2018-10-20,83340
2018-10-21,83340
2018-10-22,83340
2018-10-23,83340
2018-10-24,83340
2018-10-25,83340
2018-10-26,83340
2018-10-27,83340
2018-10-28,83340
2018-10-29,83340
2018-10-30,83340
2018-10-31,83340
2018-11-01,83340
2018-11-02,83340
2018-11-03,83340
2018-11-04,83340
2018-11-05,83340
2018-11-06,83340
2018-11-07,83340
2018-11-08,83340
2018-11-09,83340
2018-11-10,83340
2018-11-11,83340
2018-11-12,83340
2018-11-13,83340
2018-11-14,83340
2018-11-15,83340
2018-11-16,83340
2018-11-17,83340
2018-11-18,83340
2018-11-19,83340
2018-11-20,83340
2018-11-21,83340
2018-11-22,83340
2018-11-23,83340
2018-11-24,83340
2018-11-25,83340
2018-11-26,83340
2018-11-27,83340
2018-11-28,83340
2018-11-29,83340
2018-11-30,83340
2018-12-01,83340
2018-12-02,83340
2018-12-03,83340
2018-12-04,83340
2018-12-05,83340
2018-12-06,83340
2018-12-07,83340
2018-12-08,83340
2018-12-09,83340
2018-12-10,83340
2018-12-11,83340
2018-12-12,83340
2018-12-13,83340
2018-12-14,83340
2018-12-15,83340
2018-12-16,83340
2018-12-17,83340
2018-12-18,83340
2018-12-19,83340
2018-12-20,83340
2018-12-21,83340
2018-12-22,83340
2018-12-23,83340
2018-12-24,83340
2018-12-25,83340
2018-12-26,83340
2018-12-27,83340
2018-12-28,83340
2018-12-29,83340
2018-12-30,83340
2018-12-31,83340
2019-01-01,83340
2019-01-02,83340
2019-01-03,83340
2019-01-04,83340
