date,price
2008-05-21,221
2008-05-22,227
2008-05-23,227
2008-05-24,227
2008-05-25,227
2008-05-26,225
2008-05-27,225
2008-05-28,225
2008-05-29,225
2008-05-30,225
2008-05-31,225
2008-06-01,225
2008-06-02,226
2008-06-03,227
2008-06-04,227
2008-06-05,227
2008-06-06,227
2008-06-07,228
2008-06-08,228
2008-06-09,229
2008-06-10,229
2008-06-11,231
2008-06-12,242
2008-06-13,253
2008-06-14,264
2008-06-15,266
2008-06-16,266
2008-06-17,259
2008-06-18,252
2008-06-19,238
2008-06-20,232
2008-06-21,232
2008-06-22,230
2008-06-23,231
2008-06-24,231
2008-06-25,229
2008-06-26,229
2008-06-27,232
2008-06-28,235
2008-06-29,232
2008-06-30,227
2008-07-01,224
2008-07-02,223
2008-07-03,223
2008-07-04,225
2008-07-05,227
2008-07-06,225
2008-07-07,225
2008-07-08,226
2008-07-09,227
2008-07-10,227
2008-07-11,229
2008-07-12,229
2008-07-13,230
2008-07-14,227
2008-07-15,227
2008-07-16,228
2008-07-17,229
2008-07-18,230
2008-07-19,231
2008-07-20,230
2008-07-21,231
2008-07-22,230
2008-07-23,229
2008-07-24,228
2008-07-25,226
2008-07-26,226
2008-07-27,227
2008-07-28,229
2008-07-29,231
2008-07-30,230
2008-07-31,231
2008-08-01,231
2008-08-02,230
2008-08-03,232
2008-08-04,231
2008-08-05,231
2008-08-06,231
2008-08-07,230
2008-08-08,230
2008-08-09,231
2008-08-10,231
2008-08-11,231
2008-08-12,231
2008-08-13,230
2008-08-14,230
2008-08-15,230
2008-08-16,230
2008-08-17,230
2008-08-18,227
2008-08-19,226
2008-08-20,226
2008-08-21,226
2008-08-22,227
2008-08-23,227
2008-08-24,227
2008-08-25,227
2008-08-26,230
2008-08-27,234
2008-08-28,234
2008-08-29,233
2008-08-30,235
2008-08-31,237
2008-09-01,237
2008-09-02,237
2008-09-03,236
2008-09-04,234
2008-09-05,233
2008-09-06,233
2008-09-07,234
2008-09-08,235
2008-09-09,235
2008-09-10,235
2008-09-11,236
2008-09-12,235
2008-09-13,235
2008-09-14,234
2008-09-15,235
2008-09-16,235
2008-09-17,235
2008-09-18,237
2008-09-19,239
2008-09-20,240
2008-09-21,240
2008-09-22,240
2008-09-23,240
2008-09-24,241
2008-09-25,243
2008-09-26,243
2008-09-27,244
2008-09-28,244
2008-09-29,241
2008-09-30,240
2008-10-01,239
2008-10-02,239
2008-10-03,239
2008-10-04,236
2008-10-05,236
2008-10-06,237
2008-10-07,237
2008-10-08,236
2008-10-09,236
2008-10-10,236
2008-10-11,236
2008-10-12,236
2008-10-13,235
2008-10-14,235
2008-10-15,236
2008-10-16,235
2008-10-17,235
2008-10-18,235
2008-10-19,232
2008-10-20,232
2008-10-21,230
2008-10-22,228
2008-10-23,226
2008-10-24,226
2008-10-25,225
2008-10-26,225
2008-10-27,225
2008-10-28,226
2008-10-29,226
2008-10-30,225
2008-10-31,226
2008-11-01,227
2008-11-02,227
2008-11-03,228
2008-11-04,228
2008-11-05,228
2008-11-06,230
2008-11-07,232
2008-11-08,232
2008-11-09,234
2008-11-10,236
2008-11-11,238
2008-11-12,240
2008-11-13,246
2008-11-14,255
2008-11-15,262
2008-11-16,267
2008-11-17,267
2008-11-18,260
2008-11-19,260
2008-11-20,253
2008-11-21,245
2008-11-22,245
2008-11-23,244
2008-11-24,242
2008-11-25,241
2008-11-26,241
2008-11-27,240
2008-11-28,249
2008-11-29,249
2008-11-30,251
2008-12-01,254
2008-12-02,259
2008-12-03,257
2008-12-04,255
2008-12-05,253
2008-12-06,251
2008-12-07,245
2008-12-08,235
2008-12-09,235
2008-12-10,234
2008-12-11,241
2008-12-12,241
2008-12-13,242
2008-12-14,241
2008-12-15,238
2008-12-16,239
2008-12-17,239
2008-12-18,242
2008-12-19,246
2008-12-20,246
2008-12-21,248
2008-12-22,242
2008-12-23,237
2008-12-24,236
2008-12-25,236
2008-12-26,238
2008-12-27,238
2008-12-28,241
2008-12-29,243
2008-12-30,246
2008-12-31,245
2009-01-01,245
2009-01-02,240
2009-01-03,234
2009-01-04,235
2009-01-05,236
2009-01-06,236
2009-01-07,235
