date,price
2008-05-21,94
2008-05-22,94
2008-05-23,94
2008-05-24,94
2008-05-25,94
2008-05-26,94
2008-05-27,94
2008-05-28,94
2008-05-29,94
2008-05-30,94
2008-05-31,94
2008-06-01,94
2008-06-02,93
2008-06-03,92
2008-06-04,91
2008-06-05,90
2008-06-06,89
2008-06-07,89
2008-06-08,90
2008-06-09,94
2008-06-10,94
2008-06-11,94
2008-06-12,99
2008-06-13,104
2008-06-14,109
2008-06-15,115
2008-06-16,115
2008-06-17,115
2008-06-18,115
2008-06-19,110
2008-06-20,106
2008-06-21,106
2008-06-22,102
2008-06-23,97
2008-06-24,97
2008-06-25,97
2008-06-26,97
2008-06-27,98
2008-06-28,100
2008-06-29,100
2008-06-30,99
2008-07-01,98
2008-07-02,97
2008-07-03,97
2008-07-04,98
2008-07-05,98
2008-07-06,99
2008-07-07,99
2008-07-08,99
2008-07-09,102
2008-07-10,102
2008-07-11,103
2008-07-12,103
2008-07-13,102
2008-07-14,100
2008-07-15,100
2008-07-16,98
2008-07-17,97
2008-07-18,97
2008-07-19,97
2008-07-20,97
2008-07-21,97
2008-07-22,97
2008-07-23,98
2008-07-24,98
2008-07-25,99
2008-07-26,99
2008-07-27,99
2008-07-28,99
2008-07-29,99
2008-07-30,99
2008-07-31,100
2008-08-01,100
2008-08-02,100
2008-08-03,100
2008-08-04,100
2008-08-05,100
2008-08-06,100
2008-08-07,99
2008-08-08,99
2008-08-09,99
2008-08-10,99
2008-08-11,99
2008-08-12,99
2008-08-13,98
2008-08-14,98
2008-08-15,98
2008-08-16,98
2008-08-17,98
2008-08-18,98
2008-08-19,98
2008-08-20,98
2008-08-21,98
2008-08-22,98
2008-08-23,98
2008-08-24,98
2008-08-25,98
2008-08-26,98
2008-08-27,98
2008-08-28,98
2008-08-29,98
2008-08-30,99
2008-08-31,99
2008-09-01,99
2008-09-02,99
2008-09-03,99
2008-09-04,98
2008-09-05,98
2008-09-06,98
2008-09-07,98
2008-09-08,98
2008-09-09,98
2008-09-10,98
2008-09-11,98
2008-09-12,98
2008-09-13,98
2008-09-14,98
2008-09-15,98
2008-09-16,98
2008-09-17,98
2008-09-18,97
2008-09-19,97
2008-09-20,97
2008-09-21,97
2008-09-22,96
2008-09-23,96
2008-09-24,96
2008-09-25,96
2008-09-26,96
2008-09-27,97
2008-09-28,97
2008-09-29,97
2008-09-30,97
2008-10-01,96
2008-10-02,96
2008-10-03,96
2008-10-04,95
2008-10-05,95
2008-10-06,95
2008-10-07,95
2008-10-08,95
2008-10-09,95
2008-10-10,95
2008-10-11,95
2008-10-12,95
2008-10-13,95
2008-10-14,95
2008-10-15,95
2008-10-16,95
2008-10-17,95
2008-10-18,93
2008-10-19,93
2008-10-20,93
2008-10-21,93
2008-10-22,93
2008-10-23,93
2008-10-24,93
2008-10-25,93
2008-10-26,93
2008-10-27,93
2008-10-28,93
2008-10-29,93
2008-10-30,93
2008-10-31,93
2008-11-01,93
2008-11-02,93
2008-11-03,96
2008-11-04,96
2008-11-05,96
2008-11-06,96
2008-11-07,96
2008-11-08,96
2008-11-09,96
2008-11-10,96
2008-11-11,95
2008-11-12,95
2008-11-13,95
2008-11-14,95
2008-11-15,96
2008-11-16,100
2008-11-17,102
2008-11-18,104
2008-11-19,104
2008-11-20,106
2008-11-21,110
2008-11-22,110
2008-11-23,111
2008-11-24,111
2008-11-25,109
2008-11-26,109
2008-11-27,107
2008-11-28,104
2008-11-29,104
2008-11-30,104
2008-12-01,103
2008-12-02,102
2008-12-03,102
2008-12-04,101
2008-12-05,101
2008-12-06,100
2008-12-07,99
2008-12-08,98
2008-12-09,98
2008-12-10,98
2008-12-11,99
2008-12-12,99
2008-12-13,100
2008-12-14,101
2008-12-15,101
2008-12-16,101
2008-12-17,100
2008-12-18,99
2008-12-19,99
2008-12-20,99
2008-12-21,99
2008-12-22,99
2008-12-23,99
2008-12-24,99
2008-12-25,99
2008-12-26,98
2008-12-27,98
2008-12-28,98
2008-12-29,98
2008-12-30,98
2008-12-31,98
2009-01-01,98
2009-01-02,98
2009-01-03,98
2009-01-04,98
2009-01-05,98
2009-01-06,98
2009-01-07,99
2009-01-08,101
2009-01-09,101
2009-01-10,101
2009-01-11,101
2009-01-12,101
2009-01-13,101
2009-01-14,101
2009-01-15,101
2009-01-16,101
2009-01-17,101
2009-01-18,101
2009-01-19,101
2009-01-20,101
2009-01-21,101
2009-01-22,101
2009-01-23,101
2009-01-24,101
2009-01-25,99
2009-01-26,99
2009-01-27,99
2009-01-28,99
2009-01-29,99
2009-01-30,99
2009-01-31,99
2009-02-01,99
2009-02-02,99
2009-02-03,99
2009-02-04,99
2009-02-05,99
2009-02-06,99
2009-02-07,99
2009-02-08,99
2009-02-09,99
2009-02-10,99
2009-02-11,99
2009-02-12,100
2009-02-13,100
2009-02-14,100
2009-02-15,100
2009-02-16,100
2009-02-17,100
2009-02-18,100
2009-02-19,100
2009-02-20,100
2009-02-21,100
2009-02-22,100
2009-02-23,100
2009-02-24,100
2009-02-25,100
2009-02-26,100
2009-02-27,100
2009-02-28,100
2009-03-01,100
