date,price
2008-05-21,1155
2008-05-22,1162
2008-05-23,1162
2008-05-24,1155
2008-05-25,1155
2008-05-26,1155
2008-05-27,1155
2008-05-28,1158
2008-05-29,1158
2008-05-30,1173
2008-05-31,1173
2008-06-01,1171
2008-06-02,1168
2008-06-03,1164
2008-06-04,1162
2008-06-05,1162
2008-06-06,1157
2008-06-07,1152
2008-06-08,1143
2008-06-09,1134
2008-06-10,1134
2008-06-11,1129
2008-06-12,1181
2008-06-13,1233
2008-06-14,1293
2008-06-15,1377
2008-06-16,1377
2008-06-17,1371
2008-06-18,1335
2008-06-19,1248
2008-06-20,1218
2008-06-21,1218
2008-06-22,1210
2008-06-23,1193
2008-06-24,1193
2008-06-25,1189
2008-06-26,1186
2008-06-27,1185
2008-06-28,1180
2008-06-29,1187
2008-06-30,1190
2008-07-01,1200
2008-07-02,1185
2008-07-03,1185
2008-07-04,1173
2008-07-05,1159
2008-07-06,1166
2008-07-07,1165
2008-07-08,1160
2008-07-09,1160
2008-07-10,1160
2008-07-11,1161
2008-07-12,1166
2008-07-13,1164
2008-07-14,1168
2008-07-15,1168
2008-07-16,1170
2008-07-17,1176
2008-07-18,1175
2008-07-19,1168
2008-07-20,1162
2008-07-21,1153
2008-07-22,1145
2008-07-23,1134
2008-07-24,1133
2008-07-25,1122
2008-07-26,1122
2008-07-27,1125
2008-07-28,1123
2008-07-29,1121
2008-07-30,1118
2008-07-31,1122
2008-08-01,1122
2008-08-02,1118
2008-08-03,1114
2008-08-04,1098
2008-08-05,1086
2008-08-06,1086
2008-08-07,1083
2008-08-08,1089
2008-08-09,1109
2008-08-10,1105
2008-08-11,1106
2008-08-12,1114
2008-08-13,1111
2008-08-14,1107
2008-08-15,1108
2008-08-16,1094
2008-08-17,1080
2008-08-18,1077
2008-08-19,1075
2008-08-20,1069
2008-08-21,1069
2008-08-22,1078
2008-08-23,1086
2008-08-24,1086
2008-08-25,1092
2008-08-26,1091
2008-08-27,1084
2008-08-28,1074
2008-08-29,1070
2008-08-30,1058
2008-08-31,1046
2008-09-01,1046
2008-09-02,1038
2008-09-03,1035
2008-09-04,1023
2008-09-05,1021
2008-09-06,1021
2008-09-07,1029
2008-09-08,1056
2008-09-09,1056
2008-09-10,1073
2008-09-11,1088
2008-09-12,1091
2008-09-13,1097
2008-09-14,1085
2008-09-15,1068
2008-09-16,1068
2008-09-17,1058
2008-09-18,1039
2008-09-19,1037
2008-09-20,1043
2008-09-21,1043
2008-09-22,1056
2008-09-23,1082
2008-09-24,1089
2008-09-25,1086
2008-09-26,1081
2008-09-27,1075
2008-09-28,1075
2008-09-29,1071
2008-09-30,1076
2008-10-01,1086
2008-10-02,1095
2008-10-03,1092
2008-10-04,1081
2008-10-05,1081
2008-10-06,1063
2008-10-07,1059
2008-10-08,1054
2008-10-09,1054
2008-10-10,1053
2008-10-11,1059
2008-10-12,1061
2008-10-13,1054
2008-10-14,1052
2008-10-15,1048
2008-10-16,1027
2008-10-17,1020
2008-10-18,1037
2008-10-19,1058
2008-10-20,1058
2008-10-21,1058
2008-10-22,1057
2008-10-23,1061
2008-10-24,1061
2008-10-25,1051
2008-10-26,1051
2008-10-27,1046
2008-10-28,1046
2008-10-29,1045
2008-10-30,1049
2008-10-31,1053
2008-11-01,1060
2008-11-02,1073
2008-11-03,1082
2008-11-04,1096
2008-11-05,1096
2008-11-06,1108
2008-11-07,1115
2008-11-08,1121
2008-11-09,1124
2008-11-10,1133
2008-11-11,1148
2008-11-12,1172
2008-11-13,1225
2008-11-14,1278
2008-11-15,1315
2008-11-16,1255
2008-11-17,1232
2008-11-18,1216
2008-11-19,1216
2008-11-20,1208
2008-11-21,1187
2008-11-22,1187
2008-11-23,1170
2008-11-24,1137
2008-11-25,1132
2008-11-26,1132
2008-11-27,1147
2008-11-28,1182
2008-11-29,1182
2008-11-30,1199
2008-12-01,1213
2008-12-02,1239
2008-12-03,1272
2008-12-04,1287
2008-12-05,1276
2008-12-06,1237
2008-12-07,1189
2008-12-08,1134
2008-12-09,1134
2008-12-10,1135
2008-12-11,1169
2008-12-12,1169
2008-12-13,1188
2008-12-14,1184
2008-12-15,1164
2008-12-16,1151
2008-12-17,1158
2008-12-18,1181
2008-12-19,1202
2008-12-20,1202
2008-12-21,1209
2008-12-22,1169
2008-12-23,1159
2008-12-24,1154
2008-12-25,1154
2008-12-26,1190
2008-12-27,1190
2008-12-28,1184
2008-12-29,1166
2008-12-30,1167
2008-12-31,1169
2009-01-01,1169
2009-01-02,1167
2009-01-03,1159
2009-01-04,1166
2009-01-05,1173
2009-01-06,1191
2009-01-07,1201
2009-01-08,1212
2009-01-09,1213
2009-01-10,1197
2009-01-11,1197
2009-01-12,1190
2009-01-13,1218
2009-01-14,1218
2009-01-15,1222
2009-01-16,1219
2009-01-17,1213
2009-01-18,1191
2009-01-19,1191
2009-01-20,1188
2009-01-21,1191
2009-01-22,1191
2009-01-23,1199
2009-01-24,1199
2009-01-25,1200
2009-01-26,1200
2009-01-27,1201
2009-01-28,1190
2009-01-29,1190
2009-01-30,1192
