date,price
2008-05-21,191
2008-05-22,188
2008-05-23,188
2008-05-24,190
2008-05-25,190
2008-05-26,190
2008-05-27,190
2008-05-28,191
2008-05-29,191
2008-05-30,192
2008-05-31,192
2008-06-01,192
2008-06-02,193
2008-06-03,194
2008-06-04,195
2008-06-05,196
2008-06-06,196
2008-06-07,193
2008-06-08,189
2008-06-09,190
2008-06-10,190
2008-06-11,191
2008-06-12,197
2008-06-13,196
2008-06-14,194
2008-06-15,195
2008-06-16,195
2008-06-17,194
2008-06-18,192
2008-06-19,183
2008-06-20,184
2008-06-21,184
2008-06-22,185
2008-06-23,189
2008-06-24,189
2008-06-25,191
2008-06-26,191
2008-06-27,190
2008-06-28,188
2008-06-29,188
2008-06-30,191
2008-07-01,193
2008-07-02,191
2008-07-03,191
2008-07-04,191
2008-07-05,192
2008-07-06,193
2008-07-07,193
2008-07-08,191
2008-07-09,184
2008-07-10,184
2008-07-11,183
2008-07-12,181
2008-07-13,180
2008-07-14,179
2008-07-15,179
2008-07-16,178
2008-07-17,176
2008-07-18,176
2008-07-19,176
2008-07-20,176
2008-07-21,175
2008-07-22,175
2008-07-23,175
2008-07-24,176
2008-07-25,178
2008-07-26,178
2008-07-27,181
2008-07-28,182
2008-07-29,182
2008-07-30,181
2008-07-31,172
2008-08-01,172
2008-08-02,173
2008-08-03,175
2008-08-04,183
2008-08-05,179
2008-08-06,179
2008-08-07,177
2008-08-08,178
2008-08-09,180
2008-08-10,180
2008-08-11,179
2008-08-12,179
2008-08-13,178
2008-08-14,178
2008-08-15,179
2008-08-16,180
2008-08-17,181
2008-08-18,181
2008-08-19,180
2008-08-20,178
2008-08-21,178
2008-08-22,178
2008-08-23,175
2008-08-24,175
2008-08-25,174
2008-08-26,174
2008-08-27,174
2008-08-28,175
2008-08-29,175
2008-08-30,172
2008-08-31,167
2008-09-01,167
2008-09-02,163
2008-09-03,158
2008-09-04,157
2008-09-05,161
2008-09-06,161
2008-09-07,165
2008-09-08,169
2008-09-09,169
2008-09-10,169
2008-09-11,171
2008-09-12,172
2008-09-13,173
2008-09-14,166
2008-09-15,163
2008-09-16,163
2008-09-17,162
2008-09-18,166
2008-09-19,168
2008-09-20,166
2008-09-21,166
2008-09-22,165
2008-09-23,167
2008-09-24,166
2008-09-25,165
2008-09-26,165
2008-09-27,163
2008-09-28,163
2008-09-29,163
2008-09-30,165
2008-10-01,167
2008-10-02,169
2008-10-03,169
2008-10-04,165
2008-10-05,165
2008-10-06,163
2008-10-07,163
2008-10-08,163
2008-10-09,163
2008-10-10,163
2008-10-11,164
2008-10-12,165
2008-10-13,167
2008-10-14,170
2008-10-15,173
2008-10-16,175
2008-10-17,175
2008-10-18,172
2008-10-19,171
2008-10-20,171
2008-10-21,173
2008-10-22,175
2008-10-23,180
2008-10-24,180
2008-10-25,182
2008-10-26,182
2008-10-27,185
2008-10-28,189
2008-10-29,194
2008-10-30,195
2008-10-31,193
2008-11-01,192
2008-11-02,185
2008-11-03,188
2008-11-04,193
2008-11-05,193
2008-11-06,202
2008-11-07,212
2008-11-08,221
2008-11-09,231
2008-11-10,239
2008-11-11,249
2008-11-12,262
2008-11-13,272
2008-11-14,286
2008-11-15,300
2008-11-16,329
2008-11-17,333
2008-11-18,320
2008-11-19,320
2008-11-20,305
2008-11-21,287
2008-11-22,287
2008-11-23,275
2008-11-24,260
2008-11-25,252
2008-11-26,252
2008-11-27,245
2008-11-28,238
2008-11-29,238
2008-11-30,246
2008-12-01,258
2008-12-02,270
2008-12-03,281
2008-12-04,292
2008-12-05,294
2008-12-06,286
2008-12-07,276
2008-12-08,260
2008-12-09,260
2008-12-10,253
2008-12-11,252
2008-12-12,252
2008-12-13,260
2008-12-14,263
2008-12-15,263
2008-12-16,256
2008-12-17,250
2008-12-18,259
2008-12-19,263
2008-12-20,263
2008-12-21,265
2008-12-22,264
2008-12-23,261
2008-12-24,257
2008-12-25,257
2008-12-26,252
2008-12-27,252
2008-12-28,262
2008-12-29,266
2008-12-30,263
2008-12-31,260
2009-01-01,260
2009-01-02,259
2009-01-03,258
2009-01-04,260
2009-01-05,262
2009-01-06,264
2009-01-07,267
2009-01-08,269
2009-01-09,270
2009-01-10,284
2009-01-11,284
2009-01-12,291
2009-01-13,299
2009-01-14,299
2009-01-15,291
2009-01-16,286
2009-01-17,280
2009-01-18,269
2009-01-19,269
2009-01-20,263
2009-01-21,271
2009-01-22,271
2009-01-23,282
2009-01-24,282
2009-01-25,277
2009-01-26,277
2009-01-27,276
2009-01-28,281
2009-01-29,281
2009-01-30,281
2009-01-31,279
2009-02-01,277
2009-02-02,277
2009-02-03,277
2009-02-04,278
2009-02-05,278
2009-02-06,278
2009-02-07,278
2009-02-08,278
2009-02-09,280
2009-02-10,285
2009-02-11,285
2009-02-12,288
2009-02-13,291
2009-02-14,291
2009-02-15,291
2009-02-16,288
2009-02-17,285
2009-02-18,285
2009-02-19,280
2009-02-20,280
2009-02-21,277
2009-02-22,277
2009-02-23,280
2009-02-24,282
2009-02-25,281
2009-02-26,279
2009-02-27,277
2009-02-28,276
2009-03-01,273
2009-03-02,272
2009-03-03,270
2009-03-04,269
2009-03-05,269
2009-03-06,270
2009-03-07,272
2009-03-08,272
2009-03-09,270
2009-03-10,268
2009-03-11,268
2009-03-12,266
2009-03-13,265
2009-03-14,265
2009-03-15,265
2009-03-16,263
2009-03-17,260
2009-03-18,259
2009-03-19,259
2009-03-20,262
2009-03-21,263
2009-03-22,262
2009-03-23,259
2009-03-24,257
2009-03-25,256
2009-03-26,252
2009-03-27,247
2009-03-28,247
2009-03-29,243
2009-03-30,240
2009-03-31,237
2009-04-01,236
2009-04-02,236
2009-04-03,236
2009-04-04,238
2009-04-05,243
2009-04-06,243
2009-04-07,250
2009-04-08,252
2009-04-09,252
2009-04-10,247
2009-04-11,240
2009-04-12,232
2009-04-13,232
2009-04-14,232
2009-04-15,236
2009-04-16,237
2009-04-17,237
2009-04-18,239
2009-04-19,240
2009-04-20,240
2009-04-21,236
2009-04-22,234
2009-04-23,233
2009-04-24,234
2009-04-25,236
2009-04-26,236
2009-04-27,233
2009-04-28,230
2009-04-29,229
2009-04-30,229
2009-05-01,229
2009-05-02,229
2009-05-03,232
2009-05-04,232
2009-05-05,233
2009-05-06,233
2009-05-07,228
2009-05-08,224
2009-05-09,224
2009-05-10,221
2009-05-11,219
2009-05-12,219
2009-05-13,220
2009-05-14,223
2009-05-15,224
2009-05-16,224
2009-05-17,224
2009-05-18,224
2009-05-19,224
2009-05-20,223
2009-05-21,220
2009-05-22,217
2009-05-23,215
2009-05-24,216
2009-05-25,219
2009-05-26,220
2009-05-27,220
2009-05-28,214
2009-05-29,214
2009-05-30,211
2009-05-31,210
2009-06-01,213
2009-06-02,214
2009-06-03,214
2009-06-04,211
2009-06-05,210
2009-06-06,210
2009-06-07,209
2009-06-08,209
2009-06-09,209
2009-06-10,209
2009-06-11,210
2009-06-12,211
2009-06-13,211
2009-06-14,212
2009-06-15,213
2009-06-16,214
2009-06-17,214
2009-06-18,213
