date,price
2018-07-13,16670
2018-07-14,16670
2018-07-15,16670
2018-07-16,16670
2018-07-17,16670
2018-07-18,16670
2018-07-19,16670
2018-07-20,16670
2018-07-21,16670
2018-07-22,16670
2018-07-23,16670
2018-07-24,16670
2018-07-25,16670
2018-07-26,16670
2018-07-27,16670
2018-07-28,16670
2018-07-29,16670
2018-07-30,16670
2018-07-31,16670
2018-08-01,16670
2018-08-02,16670
2018-08-03,16670
2018-08-04,16670
2018-08-05,16670
2018-08-06,16670
2018-08-07,16670
2018-08-08,16670
2018-08-09,16670
2018-08-10,16670
2018-08-11,16670
2018-08-12,16670
2018-08-13,16670
2018-08-14,16670
2018-08-15,16670
2018-08-16,16670
2018-08-17,16670
2018-08-18,16670
2018-08-19,16670
2018-08-20,16670
2018-08-21,16670
2018-08-22,16670
2018-08-23,16670
2018-08-24,16670
2018-08-25,16670
2018-08-26,16670
2018-08-27,16670
2018-08-28,16670
2018-08-29,16670
2018-08-30,16670
2018-08-31,16670
2018-09-01,16670
2018-09-02,16670
2018-09-03,16670
2018-09-04,16670
2018-09-05,16670
2018-09-06,16670
2018-09-07,16670
2018-09-08,16670
2018-09-09,16670
2018-09-10,16670
2018-09-11,16670
2018-09-12,16670
2018-09-13,16670
2018-09-14,16670
2018-09-15,16670
2018-09-16,16670
2018-09-17,16670
2018-09-18,16670
2018-09-19,16670
2018-09-20,16670
2018-09-21,16670
2018-09-22,16670
2018-09-23,16670
2018-09-24,16670
2018-09-25,16670
2018-09-26,16670
2018-09-27,16670
2018-09-28,16670
2018-09-29,16670
2018-09-30,16670
2018-10-01,16670
2018-10-02,16670
2018-10-03,16670
2018-10-04,16670
2018-10-05,16670
2018-10-06,16670
2018-10-07,16670
2018-10-08,16670
2018-10-09,16670
2018-10-10,16670
2018-10-11,16670
2018-10-12,16670
2018-10-13,16670
2018-10-14,16670
2018-10-15,16670
2018-10-16,16670
2018-10-17,16670
2018-10-18,16670
2018-10-19,16670
2018-10-20,16670
2018-10-21,16670
2018-10-22,16670
2018-10-23,16670
2018-10-24,16670
2018-10-25,16670
2018-10-26,16670
2018-10-27,16670
2018-10-28,16670
2018-10-29,16670
2018-10-30,16670
2018-10-31,16670
2018-11-01,16670
2018-11-02,16670
2018-11-03,16670
2018-11-04,16670
2018-11-05,16670
2018-11-06,16670
2018-11-07,16670
2018-11-08,16670
2018-11-09,16670
2018-11-10,16670
2018-11-11,16670
2018-11-12,16670
2018-11-13,16670
2018-11-14,16670
2018-11-15,16670
2018-11-16,16670
2018-11-17,16670
2018-11-18,16670
2018-11-19,16670
2018-11-20,16670
2018-11-21,16670
2018-11-22,16670
2018-11-23,16670
2018-11-24,16670
2018-11-25,16670
2018-11-26,16670
2018-11-27,16670
2018-11-28,16670
2018-11-29,16670
2018-11-30,16670
2018-12-01,16670
2018-12-02,16670
2018-12-03,16670
2018-12-04,16670
2018-12-05,16670
2018-12-06,16670
2018-12-07,16670
2018-12-08,16670
2018-12-09,16670
2018-12-10,16670
2018-12-11,16670
2018-12-12,16670
2018-12-13,16670
2018-12-14,16670
2018-12-15,16670
2018-12-16,16670
2018-12-17,16670
2018-12-18,16670
2018-12-19,16670
2018-12-20,16670
2018-12-21,16670
2018-12-22,16670
2018-12-23,16670
2018-12-24,16670
2018-12-25,16670
2018-12-26,16670
2018-12-27,16670
2018-12-28,16670
2018-12-29,16670
2018-12-30,16670
2018-12-31,16670
2019-01-01,16670
2019-01-02,16670
2019-01-03,16670
2019-01-04,16670
2019-01-05,16670
2019-01-06,16670
2019-01-07,17504
2019-01-08,17971
2019-01-09,17493
2019-01-10,16618
2019-01-11,15787
2019-01-12,14997
2019-01-13,14247
2019-01-14,13534
2019-01-15,12857
2019-01-16,12214
2019-01-17,11603
2019-01-18,11022
2019-01-19,10470
2019-01-20,9947
2019-01-21,9452
2019-01-22,8979
2019-01-23,8530
2019-01-24,8133
2019-01-25,7745
2019-01-26,7364
2019-01-27,7086
2019-01-28,6787
2019-01-29,6448
2019-01-30,6125
2019-01-31,5824
2019-02-01,5642
2019-02-02,5807
2019-02-03,6057
