date,price
2008-05-21,13800
2008-05-22,13800
2008-05-23,13800
2008-05-24,13800
2008-05-25,13800
2008-05-26,13800
2008-05-27,13800
2008-05-28,13700
2008-05-29,13700
2008-05-30,13700
2008-05-31,13700
2008-06-01,13700
2008-06-02,13700
2008-06-03,13700
2008-06-04,13700
2008-06-05,13700
2008-06-06,13600
2008-06-07,13600
2008-06-08,13600
2008-06-09,13600
2008-06-10,13600
2008-06-11,13600
2008-06-12,13700
2008-06-13,13800
2008-06-14,13800
2008-06-15,13900
2008-06-16,13900
2008-06-17,13800
2008-06-18,13800
2008-06-19,13800
2008-06-20,13700
2008-06-21,13700
2008-06-22,13600
2008-06-23,13600
2008-06-24,13600
2008-06-25,13600
2008-06-26,13600
2008-06-27,13600
2008-06-28,13700
2008-06-29,13700
2008-06-30,13700
2008-07-01,13700
2008-07-02,13700
2008-07-03,13700
2008-07-04,13700
2008-07-05,13700
2008-07-06,13700
2008-07-07,13700
2008-07-08,13700
2008-07-09,13700
2008-07-10,13700
2008-07-11,13700
2008-07-12,13700
2008-07-13,13600
2008-07-14,13700
2008-07-15,13700
2008-07-16,13600
2008-07-17,13700
2008-07-18,13700
2008-07-19,13700
2008-07-20,13700
2008-07-21,13700
2008-07-22,13600
2008-07-23,13600
2008-07-24,13600
2008-07-25,13500
2008-07-26,13500
2008-07-27,13600
2008-07-28,13600
2008-07-29,13600
2008-07-30,13600
2008-07-31,13600
2008-08-01,13600
2008-08-02,13800
2008-08-03,13900
2008-08-04,14100
2008-08-05,14100
2008-08-06,14100
2008-08-07,14100
2008-08-08,13800
2008-08-09,13700
2008-08-10,13800
2008-08-11,13800
2008-08-12,13800
2008-08-13,13700
2008-08-14,13700
2008-08-15,13600
2008-08-16,13600
2008-08-17,13600
2008-08-18,13700
2008-08-19,13700
2008-08-20,13700
2008-08-21,13700
2008-08-22,13800
2008-08-23,13700
2008-08-24,13700
2008-08-25,13700
2008-08-26,13800
2008-08-27,13800
2008-08-28,13700
2008-08-29,13700
2008-08-30,13700
2008-08-31,13800
2008-09-01,13800
2008-09-02,13800
2008-09-03,13700
2008-09-04,13700
2008-09-05,13700
2008-09-06,13700
2008-09-07,13700
2008-09-08,13700
2008-09-09,13700
2008-09-10,13800
2008-09-11,13800
2008-09-12,13800
2008-09-13,13800
2008-09-14,13800
2008-09-15,13800
2008-09-16,13800
2008-09-17,13800
2008-09-18,13700
2008-09-19,13700
2008-09-20,13700
2008-09-21,13700
2008-09-22,13700
2008-09-23,13700
2008-09-24,13700
2008-09-25,13700
2008-09-26,13700
2008-09-27,13700
2008-09-28,13700
2008-09-29,13700
2008-09-30,13700
2008-10-01,13700
2008-10-02,13700
2008-10-03,13800
2008-10-04,13800
2008-10-05,13800
2008-10-06,13800
2008-10-07,13900
2008-10-08,13900
2008-10-09,13900
2008-10-10,13900
2008-10-11,13900
2008-10-12,13800
2008-10-13,13800
2008-10-14,13900
2008-10-15,14000
2008-10-16,14600
2008-10-17,15300
2008-10-18,16800
2008-10-19,17700
2008-10-20,17700
2008-10-21,18300
2008-10-22,18300
2008-10-23,18100
2008-10-24,18100
2008-10-25,17700
2008-10-26,17700
2008-10-27,17900
2008-10-28,18500
2008-10-29,19000
2008-10-30,19200
2008-10-31,19300
2008-11-01,19600
2008-11-02,20100
2008-11-03,20500
2008-11-04,20800
2008-11-05,20800
2008-11-06,20900
2008-11-07,20600
2008-11-08,20500
2008-11-09,20300
2008-11-10,20200
2008-11-11,19900
2008-11-12,19700
2008-11-13,19400
2008-11-14,19400
2008-11-15,19300
2008-11-16,19500
2008-11-17,19800
2008-11-18,20000
2008-11-19,20000
2008-11-20,20000
2008-11-21,20100
2008-11-22,20100
2008-11-23,20200
2008-11-24,20200
2008-11-25,20500
2008-11-26,20500
2008-11-27,20700
2008-11-28,20300
2008-11-29,20300
2008-11-30,20300
2008-12-01,20300
2008-12-02,20100
2008-12-03,20100
2008-12-04,19900
2008-12-05,19800
2008-12-06,19700
2008-12-07,19600
2008-12-08,19400
2008-12-09,19400
2008-12-10,19400
2008-12-11,19800
2008-12-12,19800
2008-12-13,20000
2008-12-14,20300
2008-12-15,20200
2008-12-16,20100
2008-12-17,20000
2008-12-18,19900
2008-12-19,20000
2008-12-20,20000
2008-12-21,20000
2008-12-22,19900
2008-12-23,19800
2008-12-24,19900
2008-12-25,19900
2008-12-26,19700
2008-12-27,19700
2008-12-28,19300
2008-12-29,19200
2008-12-30,19200
2008-12-31,19200
2009-01-01,19200
2009-01-02,19100
2009-01-03,19000
2009-01-04,18700
2009-01-05,18500
2009-01-06,18400
2009-01-07,18300
2009-01-08,18200
2009-01-09,18000
2009-01-10,17500
2009-01-11,17500
2009-01-12,17500
2009-01-13,17800
2009-01-14,17800
2009-01-15,18100
2009-01-16,18200
2009-01-17,18300
2009-01-18,18500
2009-01-19,18500
2009-01-20,18600
2009-01-21,18500
2009-01-22,18500
2009-01-23,18100
2009-01-24,18100
2009-01-25,18000
2009-01-26,18000
2009-01-27,17800
2009-01-28,17700
2009-01-29,17700
2009-01-30,17700
2009-01-31,17800
2009-02-01,17900
2009-02-02,17900
2009-02-03,18000
2009-02-04,17900
2009-02-05,17900
2009-02-06,18000
2009-02-07,18000
2009-02-08,18000
2009-02-09,17900
2009-02-10,17800
2009-02-11,17800
2009-02-12,17800
2009-02-13,17800
2009-02-14,17800
2009-02-15,17700
2009-02-16,17700
2009-02-17,17800
2009-02-18,17800
2009-02-19,17600
2009-02-20,17600
2009-02-21,17600
2009-02-22,17600
2009-02-23,17600
2009-02-24,17500
2009-02-25,17500
2009-02-26,17400
2009-02-27,17200
2009-02-28,17200
2009-03-01,17200
2009-03-02,17200
2009-03-03,17200
2009-03-04,17200
2009-03-05,17200
2009-03-06,17200
2009-03-07,17200
2009-03-08,17500
2009-03-09,17500
2009-03-10,17500
2009-03-11,17500
2009-03-12,17500
2009-03-13,17500
2009-03-14,17500
2009-03-15,17600
2009-03-16,17600
2009-03-17,17600
2009-03-18,17600
2009-03-19,17700
2009-03-20,17700
2009-03-21,17700
2009-03-22,17600
2009-03-23,17600
2009-03-24,17500
2009-03-25,17400
2009-03-26,17400
2009-03-27,17300
2009-03-28,17300
2009-03-29,17400
2009-03-30,17400
2009-03-31,17400
2009-04-01,17400
2009-04-02,17400
2009-04-03,17400
2009-04-04,17500
2009-04-05,17400
2009-04-06,17400
2009-04-07,17400
2009-04-08,17400
2009-04-09,17400
2009-04-10,17400
2009-04-11,17300
2009-04-12,17200
2009-04-13,17200
2009-04-14,17200
