date,price
2008-05-21,12100
2008-05-22,12100
2008-05-23,12100
2008-05-24,12100
2008-05-25,12100
2008-05-26,12000
2008-05-27,12000
2008-05-28,12000
2008-05-29,12000
2008-05-30,11900
2008-05-31,11900
2008-06-01,11900
2008-06-02,11900
2008-06-03,12000
2008-06-04,12000
2008-06-05,12000
2008-06-06,11800
2008-06-07,11800
2008-06-08,11700
2008-06-09,11800
2008-06-10,11800
2008-06-11,11800
2008-06-12,11900
2008-06-13,11900
2008-06-14,11800
2008-06-15,11700
2008-06-16,11700
2008-06-17,11700
2008-06-18,11700
2008-06-19,11700
2008-06-20,11600
2008-06-21,11600
2008-06-22,11700
2008-06-23,11700
2008-06-24,11700
2008-06-25,11700
2008-06-26,11700
2008-06-27,11800
2008-06-28,11800
2008-06-29,11800
2008-06-30,11800
2008-07-01,11800
2008-07-02,11800
2008-07-03,11800
2008-07-04,11900
2008-07-05,11900
2008-07-06,11900
2008-07-07,11900
2008-07-08,11900
2008-07-09,12000
2008-07-10,12000
2008-07-11,11900
2008-07-12,11900
2008-07-13,11900
2008-07-14,11800
2008-07-15,11800
2008-07-16,11800
2008-07-17,11700
2008-07-18,11700
2008-07-19,11700
2008-07-20,11700
2008-07-21,11700
2008-07-22,11700
2008-07-23,11700
2008-07-24,11700
2008-07-25,11700
2008-07-26,11700
2008-07-27,11700
2008-07-28,11700
2008-07-29,11700
2008-07-30,11700
2008-07-31,11800
2008-08-01,11800
2008-08-02,11900
2008-08-03,12000
2008-08-04,12100
2008-08-05,12100
2008-08-06,12100
2008-08-07,12200
2008-08-08,12100
2008-08-09,11900
2008-08-10,11900
2008-08-11,11900
2008-08-12,11900
2008-08-13,11900
2008-08-14,11900
2008-08-15,11900
2008-08-16,11900
2008-08-17,11900
2008-08-18,11900
2008-08-19,11900
2008-08-20,11800
2008-08-21,11800
2008-08-22,11900
2008-08-23,11900
2008-08-24,11900
2008-08-25,12000
2008-08-26,12000
2008-08-27,12000
2008-08-28,12000
2008-08-29,12000
2008-08-30,12100
2008-08-31,12100
2008-09-01,12100
2008-09-02,12100
2008-09-03,12000
2008-09-04,12000
2008-09-05,12000
2008-09-06,12000
2008-09-07,12000
2008-09-08,12000
2008-09-09,12000
2008-09-10,12100
2008-09-11,12100
2008-09-12,12100
2008-09-13,12100
2008-09-14,12100
2008-09-15,12200
2008-09-16,12200
2008-09-17,12200
2008-09-18,12200
2008-09-19,12100
2008-09-20,12100
2008-09-21,12000
2008-09-22,11900
2008-09-23,12000
2008-09-24,12000
2008-09-25,12000
2008-09-26,12000
2008-09-27,12000
2008-09-28,12000
2008-09-29,12000
2008-09-30,12100
2008-10-01,12300
2008-10-02,12300
2008-10-03,12300
2008-10-04,12200
2008-10-05,12200
2008-10-06,12100
2008-10-07,12100
2008-10-08,12100
2008-10-09,12100
2008-10-10,12200
2008-10-11,12200
2008-10-12,12200
2008-10-13,12200
2008-10-14,12200
2008-10-15,12200
2008-10-16,12600
2008-10-17,12900
2008-10-18,13500
2008-10-19,14900
2008-10-20,14900
2008-10-21,15600
2008-10-22,16400
2008-10-23,16500
2008-10-24,16500
2008-10-25,15200
2008-10-26,15200
2008-10-27,15400
2008-10-28,16200
2008-10-29,16800
2008-10-30,17200
2008-10-31,17500
2008-11-01,17700
2008-11-02,18300
2008-11-03,18600
2008-11-04,18900
2008-11-05,18900
2008-11-06,19100
2008-11-07,18900
2008-11-08,18400
2008-11-09,18100
2008-11-10,17900
2008-11-11,17900
2008-11-12,17900
2008-11-13,17800
2008-11-14,17400
2008-11-15,17300
2008-11-16,17700
2008-11-17,18000
2008-11-18,18000
2008-11-19,18000
2008-11-20,18000
2008-11-21,18000
2008-11-22,18000
2008-11-23,18200
2008-11-24,18500
2008-11-25,18600
2008-11-26,18600
2008-11-27,18600
2008-11-28,18500
2008-11-29,18500
2008-11-30,18400
2008-12-01,18400
2008-12-02,18300
2008-12-03,18300
2008-12-04,18200
2008-12-05,17800
2008-12-06,17500
2008-12-07,17500
2008-12-08,17500
2008-12-09,17500
2008-12-10,17400
2008-12-11,17500
2008-12-12,17500
2008-12-13,17800
2008-12-14,18100
2008-12-15,18300
2008-12-16,18300
2008-12-17,18100
2008-12-18,17800
2008-12-19,17900
2008-12-20,17900
2008-12-21,18100
2008-12-22,18100
2008-12-23,17900
2008-12-24,17900
2008-12-25,17900
2008-12-26,17900
2008-12-27,17900
2008-12-28,17600
2008-12-29,17500
2008-12-30,17400
2008-12-31,17400
2009-01-01,17400
2009-01-02,17300
2009-01-03,16800
2009-01-04,16600
2009-01-05,16400
2009-01-06,16300
2009-01-07,16200
2009-01-08,16200
2009-01-09,16100
2009-01-10,15700
2009-01-11,15700
2009-01-12,15600
2009-01-13,15800
2009-01-14,15800
2009-01-15,16300
2009-01-16,16500
2009-01-17,16400
2009-01-18,16500
2009-01-19,16500
2009-01-20,16800
2009-01-21,16700
2009-01-22,16700
2009-01-23,16100
2009-01-24,16100
2009-01-25,16000
2009-01-26,16000
2009-01-27,16200
2009-01-28,15900
2009-01-29,15900
2009-01-30,15700
2009-01-31,15800
2009-02-01,16000
2009-02-02,16000
2009-02-03,16000
2009-02-04,16100
2009-02-05,16100
2009-02-06,16100
2009-02-07,16200
2009-02-08,16200
2009-02-09,16100
2009-02-10,16100
2009-02-11,16100
2009-02-12,16100
2009-02-13,16000
2009-02-14,16100
2009-02-15,16100
2009-02-16,16100
