date,price
2008-05-21,614
2008-05-22,610
2008-05-23,610
2008-05-24,606
2008-05-25,606
2008-05-26,605
2008-05-27,605
2008-05-28,607
2008-05-29,607
2008-05-30,611
2008-05-31,611
2008-06-01,612
2008-06-02,612
2008-06-03,612
2008-06-04,613
2008-06-05,614
2008-06-06,616
2008-06-07,624
2008-06-08,636
2008-06-09,670
2008-06-10,670
2008-06-11,685
2008-06-12,718
2008-06-13,752
2008-06-14,778
2008-06-15,768
2008-06-16,768
2008-06-17,733
2008-06-18,708
2008-06-19,661
2008-06-20,650
2008-06-21,650
2008-06-22,655
2008-06-23,668
2008-06-24,668
2008-06-25,667
2008-06-26,658
2008-06-27,650
2008-06-28,637
2008-06-29,633
2008-06-30,633
2008-07-01,632
2008-07-02,633
2008-07-03,633
2008-07-04,641
2008-07-05,649
2008-07-06,657
2008-07-07,668
2008-07-08,675
2008-07-09,671
2008-07-10,671
2008-07-11,660
2008-07-12,649
2008-07-13,643
2008-07-14,633
2008-07-15,633
2008-07-16,634
2008-07-17,640
2008-07-18,648
2008-07-19,651
2008-07-20,650
2008-07-21,650
2008-07-22,647
2008-07-23,643
2008-07-24,641
2008-07-25,637
2008-07-26,637
2008-07-27,637
2008-07-28,636
2008-07-29,634
2008-07-30,633
2008-07-31,629
2008-08-01,629
2008-08-02,626
2008-08-03,624
2008-08-04,622
2008-08-05,621
2008-08-06,621
2008-08-07,622
2008-08-08,621
2008-08-09,620
2008-08-10,621
2008-08-11,622
2008-08-12,624
2008-08-13,626
2008-08-14,626
2008-08-15,626
2008-08-16,625
2008-08-17,624
2008-08-18,621
2008-08-19,619
2008-08-20,618
2008-08-21,618
2008-08-22,618
2008-08-23,622
2008-08-24,622
2008-08-25,621
2008-08-26,621
2008-08-27,622
2008-08-28,622
2008-08-29,621
2008-08-30,619
2008-08-31,618
2008-09-01,618
2008-09-02,616
2008-09-03,613
2008-09-04,607
2008-09-05,606
2008-09-06,606
2008-09-07,605
2008-09-08,606
2008-09-09,606
2008-09-10,609
2008-09-11,616
2008-09-12,615
2008-09-13,614
2008-09-14,615
2008-09-15,616
2008-09-16,616
2008-09-17,618
2008-09-18,626
2008-09-19,627
2008-09-20,626
2008-09-21,626
2008-09-22,625
2008-09-23,626
2008-09-24,625
2008-09-25,622
2008-09-26,619
2008-09-27,612
2008-09-28,612
2008-09-29,609
2008-09-30,610
2008-10-01,611
2008-10-02,612
2008-10-03,613
2008-10-04,612
2008-10-05,612
2008-10-06,608
2008-10-07,606
2008-10-08,604
2008-10-09,604
2008-10-10,603
2008-10-11,602
2008-10-12,603
2008-10-13,603
